Unique URL,Model and Year,Miles Driven,Price
https://www.vroom.com/?utm_source=autotrader&utm_campaign=alpha&utm_medium=listings,Used 2018 Mercedes-Benz S 450 4MATIC Sedan,GREAT PRICE,61980
/cars-for-sale/vehicledetails.xhtml?listingId=579086942&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26incremental%3Dall%26seriesCodeList%3DS_CLASS%26modelCodeList%3DS_CLASS%26makeCodeList%3DMB%26sortBy%3Drelevance%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26searchRadius%3D50%26isNewSearch%3Dtrue&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&modelCodeList=S_CLASS&makeCodeList=MB&searchRadius=50&clickType=alpha,Used 2018 Mercedes-Benz S 450 4MATIC Sedan,GREAT PRICE,61980
/cars-for-sale/vehicledetails.xhtml?listingId=575344331&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26incremental%3Dall%26seriesCodeList%3DS_CLASS%26modelCodeList%3DS_CLASS%26makeCodeList%3DMB%26sortBy%3Drelevance%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&modelCodeList=S_CLASS&makeCodeList=MB&searchRadius=50&clickType=spotlight,Used 2017 Mercedes-Benz S 550 Sedan,22960 ,59990
/cars-for-sale/vehicledetails.xhtml?listingId=575342971&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26incremental%3Dall%26seriesCodeList%3DS_CLASS%26modelCodeList%3DS_CLASS%26makeCodeList%3DMB%26sortBy%3Drelevance%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&modelCodeList=S_CLASS&makeCodeList=MB&searchRadius=50&clickType=spotlight,Used 2017 Mercedes-Benz S 550 Cabriolet,27568 ,75980
/cars-for-sale/vehicledetails.xhtml?listingId=572603585&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S550&clickType=listing,Used 2015 Mercedes-Benz S 550 4MATIC Sedan,30698 ,41299
/cars-for-sale/vehicledetails.xhtml?listingId=574595647&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26incremental%3Dall%26seriesCodeList%3DS_CLASS%26modelCodeList%3DS_CLASS%26makeCodeList%3DMB%26sortBy%3Drelevance%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&modelCodeList=S_CLASS&makeCodeList=MB&searchRadius=50&clickType=listing,Used 2016 Mercedes-Benz S 550 Sedan,43971 ,43998
/cars-for-sale/vehicledetails.xhtml?listingId=578722162&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S550&clickType=listing,Used 2015 Mercedes-Benz S 550 4MATIC Coupe,42836 ,56990
/cars-for-sale/vehicledetails.xhtml?listingId=576715278&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S550&clickType=listing,Certified 2015 Mercedes-Benz S 550 Sedan,63299 ,39988
/cars-for-sale/vehicledetails.xhtml?listingId=579009455&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26sortBy%3Drelevance%26incremental%3Dall%26state%3DFL%26seriesCodeList%3DS_CLASS%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26makeCodeList%3DMB%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&makeCodeList=MB&searchRadius=50&makeCode1=MB&modelCode1=S600&clickType=listing,Used 2015 Mercedes-Benz S 600,58531 ,59990
/cars-for-sale/vehicledetails.xhtml?listingId=574595647&zip=33606&referrer=%2Fcars-for-sale%2Fsearchresults.xhtml%3Fzip%3D33606%26city%3DTampa%26incremental%3Dall%26seriesCodeList%3DS_CLASS%26modelCodeList%3DS_CLASS%26makeCodeList%3DMB%26sortBy%3Drelevance%26state%3DFL%26firstRecord%3D0%26marketExtension%3Dinclude%26relevanceConfig%3Ddefault%26searchRadius%3D50%26isNewSearch%3Dfalse&numRecords=25&seriesCodeList=S_CLASS&firstRecord=0&modelCodeList=S_CLASS&makeCodeList=MB&searchRadius=50&clickType=spotlight,Used 2016 Mercedes-Benz S 550 Sedan,43971 ,43998
